Category,Reformer_Setting,Spring_Setting,Footbar_Setting,Platform Extender,Box,Toning_Balls,Target_Muscle,Workout,Flow_Series,Repetition,Repeat_Both_Side,Duration
Warm up,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Back mobility,Back bend,"Tighten glutes, back bend with arms raise to the back, head look up",3,NA,1 min
Warm up,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Obliques,Side bend,"toning ball beside ears, side bend, lengthen ribs",3,Yes,1 min
Warm up,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Quartz,Squads,Hold toning balls and raise to shoulder height when going into squat,6,NA,3 mins
Warm up,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Ankle mobility,Ankle Raise Squads,"Hold toning balls and raise to shoulder height, raise alternate ankles while in squad and then both ankles and finish with pulses",3+6+5,Yes,5 mins
Legs,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,"Quartz, hemstring, calfs, glutes",Lunges,"Starting position: one leg against shoulder rest and the other leg on floor, knees level.
Workout: 
a. High Lunge (toning balls raise forward)
b. Long line lunge (lean forward) with toning balls beside ears + rotation of torso after each lunge
c. Torso twist while in long line lunge with toning balls beside ears 
d. Finisher - 5 pulses in torso twist",6+6+6,Yes,10 mins
Abs,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Abs core,Jack Rabbits,"a. Short plank with forearms on Box
b. Long plank with forearms on Box
c. Jack Rabbits, return knees below hips (90 degrees)",2+2+8,NA,3 mins
Abs,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Abs core,Pikes,"a. Short plank with forearms on Box
b. Long plank with forearms on Box
c. Pikes with forearms on Box",2+2+8,NA,3 mins
Abs,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Abs core / Shoulder Blades,Shoulder dissociation,"a. Short plank with forearms on Box
b. Long plank with forearms on Box
c. Shoulder dissociation with forearms on box",2+2+6,NA,2 mins
Abs,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Abs core / Shoulder Blades,Mountain Climbers in Plank,"In Plank position, forearms on box, bringing each leg vertically forward to touch the box. ",4,Yes,2 mins
Legs,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Inner Thighs,Inner Thigh,"Set up: Left Inner thighs against shoulder rest, right feet on the metal rails with sticky mat on. Right feet slightly further beyond right knee 
Workout:
a. Pull left inner thigh to right fee using both left inner thigh and right quartz. Toning balls to touch and place in front of chest, elbows shoulder height. Ensure left hip is always on top of left knee when doing the workout
b. Repeat above but with lengthen arms while holding toning balls when pulling carriage to feet
c. Finisher: Releasing the left thigh only back and doing pulses
d. Add a side bend when pulling carriage to feet with toning balls beside ears
e. Finisher: Hold and repeat side bend",6+6+6+6+4,Yes,15 mins
Abs,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Obliques,Side Plank Jack Rabbits,Option to raise one hand up,6,Yes,2 mins
Abs,Universal,1 Blue,Highest,No,Short Box Between carriage and footbar,Yes,Obliques,Side Plank Needle Threading,one hand raised and torso twist thread hand under armpit,6,Yes,2 mins
Arms,Universal,1 Blue 1 White,Highest,No,Long Box,No,"Triceps, bicep, deltoits",Serving a tray,"Set up: Sit on box facing foot bar, feet on carriage, sit further to the back of the box. Hold on to hand straps and elbow beside waiver, 90 degree arms to start
a. Palms faced up, serving a tray
b. Chest opening. Arms straighten, fingers to touch forming a semi circle, widen elbows and shoulder to open chest. Avoid using shoulder blades muscle
c. Arms rowing. Bring fingers to touch infront of chest, elbows shoulder height pointing out, straight arms forward with palms facing down
d. Long lever. Bring hands down to the side of the hips, elbows straighten and raise hands up to shoulder level",6+6+6+6,No,5 mins
